case_id,pipeline,end_ns,end_to_end_ms,model_batch_id,model_batch_size,model_ms,policy_ms,retrieval_ms,start_ns,validation_ms
EXT-INVALID_ENTITY-0077,C0_DIRECT_SLM,11034117158527,11131.224567,batch-000009,8,11131.215897,0.0,0.001567,11022985942630,0.007103
EXT-INVALID_ENTITY-0078,C0_DIRECT_SLM,11034117158527,11131.222662,batch-000009,8,11131.215897,0.0,0.001511,11022985942630,0.005254
EXT-INVALID_ENTITY-0079,C0_DIRECT_SLM,11034117158527,11131.224809,batch-000009,8,11131.215897,0.0,0.001212,11022985942630,0.0077
EXT-INVALID_ENTITY-0080,C0_DIRECT_SLM,11034117158527,11131.222343,batch-000009,8,11131.215897,0.0,0.00114,11022985942630,0.005306
EXT-INVALID_ENTITY-0083,C0_DIRECT_SLM,11034117158527,11131.22506,batch-000009,8,11131.215897,0.0,0.001155,11022985942630,0.008008
EXT-INVALID_ENTITY-0084,C0_DIRECT_SLM,11045362984002,11245.580835,batch-000010,8,11245.577472,0.0,0.001253,11034117406530,0.00211
EXT-INVALID_ENTITY-0086,C0_DIRECT_SLM,11045362984002,11245.581672000002,batch-000010,8,11245.577472,0.0,0.002103,11034117406530,0.002097
EXT-INVALID_ENTITY-0093,C0_DIRECT_SLM,11045362984002,11245.585933000002,batch-000010,8,11245.577472,0.0,0.001366,11034117406530,0.007095
EXT-INVALID_ENTITY-0098,C0_DIRECT_SLM,11045362984002,11245.585593,batch-000010,8,11245.577472,0.0,0.001396,11034117406530,0.006725
EXT-NUMERIC_PROVENANCE-0008,C0_DIRECT_SLM,11045362984002,11245.581136,batch-000010,8,11245.577472,0.0,0.001281,11034117406530,0.002383
EXT-NUMERIC_PROVENANCE-0009,C0_DIRECT_SLM,11045362984002,11245.585971,batch-000010,8,11245.577472,0.0,0.001144,11034117406530,0.007355
EXT-NUMERIC_PROVENANCE-0012,C0_DIRECT_SLM,11045362984002,11245.583377,batch-000010,8,11245.577472,0.0,0.001209,11034117406530,0.004696
EXT-NUMERIC_PROVENANCE-0013,C0_DIRECT_SLM,11045362984002,11245.601849,batch-000010,8,11245.577472,0.0,0.001118,11034117406530,0.023259
EXT-NUMERIC_PROVENANCE-0015,C0_DIRECT_SLM,11056754356623,11391.153488,batch-000011,8,11391.148022,0.0,0.001199,11045363208601,0.004267
EXT-NUMERIC_PROVENANCE-0016,C0_DIRECT_SLM,11056754356623,11391.152203,batch-000011,8,11391.148022,0.0,0.001063,11045363208601,0.003118
EXT-NUMERIC_PROVENANCE-0017,C0_DIRECT_SLM,11056754356623,11391.157543,batch-000011,8,11391.148022,0.0,0.001097,11045363208601,0.008424
EXT-NUMERIC_PROVENANCE-0018,C0_DIRECT_SLM,11056754356623,11391.154856,batch-000011,8,11391.148022,0.0,0.001117,11045363208601,0.005717
EXT-NUMERIC_PROVENANCE-0019,C0_DIRECT_SLM,11056754356623,11391.157604,batch-000011,8,11391.148022,0.0,0.001104,11045363208601,0.008478
EXT-NUMERIC_PROVENANCE-0020,C0_DIRECT_SLM,11056754356623,11391.152062,batch-000011,8,11391.148022,0.0,0.001428,11045363208601,0.002612
EXT-NUMERIC_PROVENANCE-0021,C0_DIRECT_SLM,11056754356623,11391.155216,batch-000011,8,11391.148022,0.0,0.001839,11045363208601,0.005355
EXT-NUMERIC_PROVENANCE-0029,C0_DIRECT_SLM,11056754356623,11391.156493999999,batch-000011,8,11391.148022,0.0,0.00116,11045363208601,0.007312
EXT-NUMERIC_PROVENANCE-0031,C0_DIRECT_SLM,11067863513617,11108.897175,batch-000012,8,11108.890928,0.0,0.001138,11056754622689,0.005109
EXT-NUMERIC_PROVENANCE-0033,C0_DIRECT_SLM,11067863513617,11108.899594,batch-000012,8,11108.890928,0.0,0.00115,11056754622689,0.007516
EXT-NUMERIC_PROVENANCE-0035,C0_DIRECT_SLM,11067863513617,11108.896060000001,batch-000012,8,11108.890928,0.0,0.001076,11056754622689,0.004056
EXT-NUMERIC_PROVENANCE-0038,C0_DIRECT_SLM,11067863513617,11108.897159,batch-000012,8,11108.890928,0.0,0.001258,11056754622689,0.004973
EXT-NUMERIC_PROVENANCE-0039,C0_DIRECT_SLM,11067863513617,11108.899654,batch-000012,8,11108.890928,0.0,0.001094,11056754622689,0.007632
EXT-NUMERIC_PROVENANCE-0047,C0_DIRECT_SLM,11067863513617,11108.900143,batch-000012,8,11108.890928,0.0,0.001128,11056754622689,0.008087
EXT-PAIR-0001-KO,C0_DIRECT_SLM,11067863513617,11108.899905,batch-000012,8,11108.890928,0.0,0.001262,11056754622689,0.007715
EXT-PAIR-0004-EN,C0_DIRECT_SLM,11067863513617,11108.897193,batch-000012,8,11108.890928,0.0,0.001449,11056754622689,0.004816
EXT-PAIR-0004-KO,C0_DIRECT_SLM,11079075074413,11211.331935,batch-000013,8,11211.322889,0.0,0.001307,11067863751524,0.007739
EXT-PAIR-0007-EN,C0_DIRECT_SLM,11079075074413,11211.326561999998,batch-000013,8,11211.322889,0.0,0.001406,11067863751524,0.002267
EXT-PAIR-0009-EN,C0_DIRECT_SLM,11079075074413,11211.326188,batch-000013,8,11211.322889,0.0,0.001193,11067863751524,0.002106
EXT-PAIR-0010-EN,C0_DIRECT_SLM,11079075074413,11211.326229999999,batch-000013,8,11211.322889,0.0,0.001135,11067863751524,0.002206
EXT-PAIR-0013-EN,C0_DIRECT_SLM,11079075074413,11211.332206,batch-000013,8,11211.322889,0.0,0.00112,11067863751524,0.008197
EXT-PAIR-0013-KO,C0_DIRECT_SLM,11079075074413,11211.330981,batch-000013,8,11211.322889,0.0,0.001159,11067863751524,0.006933
EXT-PAIR-0021-KO,C0_DIRECT_SLM,11079075074413,11211.329307999998,batch-000013,8,11211.322889,0.0,0.001424,11067863751524,0.004995
EXT-PAIR-0026-EN,C0_DIRECT_SLM,11079075074413,11211.326231,batch-000013,8,11211.322889,0.0,0.001128,11067863751524,0.002214
EXT-PAIR-0026-KO,C0_DIRECT_SLM,11090445323203,11370.01083,batch-000014,8,11370.002905,0.0,0.001166,11079075320298,0.006759
EXT-PAIR-0027-KO,C0_DIRECT_SLM,11090445323203,11370.011981,batch-000014,8,11370.002905,0.0,0.001789,11079075320298,0.007287
EXT-PAIR-0029-KO,C0_DIRECT_SLM,11090445323203,11370.01089,batch-000014,8,11370.002905,0.0,0.001218,11079075320298,0.006767
EXT-PAIR-0030-EN,C0_DIRECT_SLM,11090445323203,11370.011596,batch-000014,8,11370.002905,0.0,0.002049,11079075320298,0.006642
EXT-PAIR-0034-EN,C0_DIRECT_SLM,11090445323203,11370.008656,batch-000014,8,11370.002905,0.0,0.001085,11079075320298,0.004666
EXT-PAIR-0035-KO,C0_DIRECT_SLM,11090445323203,11370.006530999999,batch-000014,8,11370.002905,0.0,0.00123,11079075320298,0.002396
EXT-PAIR-0039-KO,C0_DIRECT_SLM,11090445323203,11370.010915,batch-000014,8,11370.002905,0.0,0.001146,11079075320298,0.006864
EXT-PAIR-0040-EN,C0_DIRECT_SLM,11090445323203,11370.00658,batch-000014,8,11370.002905,0.0,0.001221,11079075320298,0.002454
EXT-PAIR-0041-EN,C0_DIRECT_SLM,11101565268015,11119.714931,batch-000015,8,11119.711301,0.0,0.001233,11090445556714,0.002397
EXT-PAIR-0043-KO,C0_DIRECT_SLM,11101565268015,11119.719567999999,batch-000015,8,11119.711301,0.0,0.001159,11090445556714,0.007108
